StartDevice,StartPort,EndDevice,Console_type,Proxy,BaudRate
console-1,2029,ixre-egl-board27,telnet,root,115200
console-1,2007,ixre-egl-board28,telnet,root,115200
console-1,2026,ixre-cpm-chassis10,telnet,root,115200
console-1,2015,ixre-egl-board15,telnet,root,115200
console-1,2016,ixre-egl-board7,telnet,root,115200
console-1,2028,ixre-cpm-chassis11,telnet,root,115200
console-1,2001,ixre-egl-board1,telnet,root,115200
console-1,2005,ixre-egl-board5,telnet,root,115200
console-1,2025,ixre-cpm-chassis9,telnet,root,115200
console-1,2004,ixre-egl-board3,telnet,root,115200
console-1,2003,ixre-egl-board4,telnet,root,115200
console-2,2031,ixre-cpm-chassis8,telnet,root,115200
console-2,2003,ixre-egl-board9,telnet,root,115200
console-2,2008,ixre-egl-board10,telnet,root,115200
console-2,2009,ixre-cpm-chassis12,telnet,root,115200
console-1,2014,ixre-egl-board25,telnet,root,115200
console-1,2027,ixre-egl-board26,telnet,root,115200
console-2,2026,ixre-cpm-chassis7,telnet,root,115200
console-2,2027,ixre-egl-board40,telnet,root,115200
console-2,2028,ixre-egl-board41,telnet,root,115200
console-2,2025,ixre-cpm-chassis15,telnet,root,115200
console-2,2015,ixre-egl-board31,telnet,root,115200
console-2,2011,ixre-egl-board33,telnet,root,115200
console-2,2012,ixre-egl-board34,telnet,root,115200
console-2,2013,ixre-egl-board35,telnet,root,115200
console-2,2014,ixre-egl-board36,telnet,root,115200
console-2,2019,ixre-cpm-chassis13,telnet,root,115200
console-2,2021,ixre-egl-board29,telnet,root,115200
console-2,2022,ixre-egl-board30,telnet,root,115200
console-2,2010,ixre-cpm-chassis14,telnet,root,115200
