StartDevice,StartPort,EndDevice,EndPort,EndFeed
bjw-pdu-126-135,1,bjw-can-7215-10,PSU1,
bjw-pdu-126-134,1,bjw-can-7215-10,PSU2,
bjw-pdu-126-135,3,bjw-can-7215-10,PSU3,
bjw-pdu-126-134,3,bjw-can-7215-10,PSU4,
bjw-pdu-126-133,7,bjw-can-7215-9,PSU1,
bjw-pdu-126-132,7,bjw-can-7215-9,PSU2,
bjw-pdu-126-133,6,bjw-can-7215-9,PSU3,
bjw-pdu-126-132,6,bjw-can-7215-9,PSU4,
bjw-pdu-126-135,13,bjw-can-720dt-2,PSU1,
bjw-pdu-126-134,13,bjw-can-720dt-2,PSU2,
bjw-pdu-126-135,9,bjw-can-720dt-1,PSU1,
bjw-pdu-126-134,9,bjw-can-720dt-1,PSU2,
bjw-pdu-126-132,23,bjw-can-720dt-3,PSU1,
bjw-pdu-126-133,23,bjw-can-720dt-3,PSU2,
bjw-pdu-126-132,20,bjw-can-720dt-4,PSU1,
bjw-pdu-126-133,20,bjw-can-720dt-4,PSU2,
bjw-pdu-126-137,42,bjw-can-7050qx-3,PSU1,
bjw-pdu-126-136,42,bjw-can-7050qx-3,PSU2,
bjw-pdu-126-137,41,bjw-can-z9332f-2,PSU1,
bjw-pdu-126-136,41,bjw-can-z9332f-2,PSU2,
bjw-pdu-126-137,24,bjw-can-z9332f-3,PSU1,
bjw-pdu-126-136,24,bjw-can-z9332f-3,PSU2,
bjw-pdu-126-137,13,bjw-can-7260-7,PSU1,
bjw-pdu-126-136,13,bjw-can-7260-7,PSU2,
bjw-pdu-126-136,15,bjw-can-8102-1,PSU1,
bjw-pdu-126-137,15,bjw-can-8102-1,PSU2,
bjw-pdu-126-135,6,bjw-can-2700-1,PSU1,
bjw-pdu-126-134,6,bjw-can-2700-1,PSU2,
bjw-pdu-126-132,35,bjw-can-2700-2,PSU1,
bjw-pdu-126-133,35,bjw-can-2700-2,PSU2,
bjw-pdu-126-136,39,bjw-slx-can-1,PSU1,
bjw-pdu-126-137,39,bjw-slx-can-1,PSU2,
bjw-pdu-126-137,23,bjw-slx-can-3,PSU1,
bjw-pdu-126-136,23,bjw-slx-can-3,PSU2,
bjw-pdu-126-137,22,bjw-slx-can-4,PSU1,
bjw-pdu-126-136,22,bjw-slx-can-4,PSU2,
bjw-pdu-126-135,11,bjw-can-slx-5,PSU1,
bjw-pdu-126-134,11,bjw-can-slx-5,PSU2,
bjw-pdu-126-132,33,bjw-can-slx-6,PSU1,
bjw-pdu-126-133,33,bjw-can-slx-6,PSU2,
bjw-pdu-126-132,37,bjw-can-slx-7,PSU1,
bjw-pdu-126-133,37,bjw-can-slx-7,PSU2,
bjw-pdu-126-132,41,bjw-can-slx-8,PSU1,
bjw-pdu-126-133,41,bjw-can-slx-8,PSU2,
bjw-pdu-126-132,39,bjw-can-7050qx-1,PSU1,
bjw-pdu-126-133,39,bjw-can-7050qx-1,PSU2,
bjw-pdu-126-132,42,bjw-can-7050qx-2,PSU1,
bjw-pdu-126-133,42,bjw-can-7050qx-2,PSU2,
bjw-pdu-126-135,19,bjw-can-7215-1,PSU1,
bjw-pdu-126-134,19,bjw-can-7215-1,PSU2,
bjw-pdu-126-135,24,bjw-can-7215-2,PSU1,
bjw-pdu-126-134,24,bjw-can-7215-2,PSU2,
bjw-pdu-126-135,15,bjw-can-7215-3,PSU1,
bjw-pdu-126-134,15,bjw-can-7215-3,PSU2,
bjw-pdu-126-135,23,bjw-can-7215-4,PSU1,
bjw-pdu-126-134,23,bjw-can-7215-4,PSU2,
bjw-pdu-126-132,17,bjw-can-7215-5,PSU1,
bjw-pdu-126-133,17,bjw-can-7215-5,PSU2,
bjw-pdu-126-132,11,bjw-can-7215-6,PSU1,
bjw-pdu-126-133,11,bjw-can-7215-6,PSU2,
bjw-pdu-126-132,9,bjw-can-7215-7,PSU1,
bjw-pdu-126-133,9,bjw-can-7215-7,PSU2,
bjw-pdu-126-132,22,bjw-can-7215-8,PSU1,
bjw-pdu-126-133,22,bjw-can-7215-8,PSU2,
bjw-pdu-126-132,1,bjw-can-7215-11,PSU1,
bjw-pdu-126-133,1,bjw-can-7215-11,PSU2,
bjw-pdu-126-132,5,bjw-can-7215-12,PSU1,
bjw-pdu-126-133,5,bjw-can-7215-12,PSU2,
bjw-pdu-126-132,36,bjw-can-7215-13,PSU1,
bjw-pdu-126-133,36,bjw-can-7215-13,PSU2,
bjw-pdu-126-132,19,bjw-can-e1031-1,PSU1,
bjw-pdu-126-133,19,bjw-can-e1031-1,PSU2,
bjw-pdu-126-138,15,bjw-can-e1031-2,PSU1,
bjw-pdu-126-139,15,bjw-can-e1031-2,PSU2,
bjw-pdu-126-138,17,bjw-can-e1031-2,PSU3,
bjw-pdu-126-139,17,bjw-can-e1031-2,PSU4,
bjw-pdu-126-138,6,bjw-can-7260-1,PSU1,
bjw-pdu-126-139,6,bjw-can-7260-1,PSU2,
bjw-pdu-126-138,9,bjw-can-7260-2,PSU1,
bjw-pdu-126-139,9,bjw-can-7260-2,PSU2,
bjw-pdu-126-138,21,bjw-can-7260-3,PSU1,
bjw-pdu-126-139,21,bjw-can-7260-3,PSU2,
bjw-pdu-126-138,31,bjw-can-7260-4,PSU1,
bjw-pdu-126-139,31,bjw-can-7260-4,PSU2,
bjw-pdu-126-138,42,bjw-can-7260-5,PSU1,
bjw-pdu-126-139,42,bjw-can-7260-5,PSU2,
bjw-pdu-126-138,5,bjw-can-3800-1,PSU1,
bjw-pdu-126-139,5,bjw-can-3800-1,PSU2,
bjw-pdu-126-138,25,bjw-can-3800-2,PSU1,
bjw-pdu-126-139,25,bjw-can-3800-2,PSU2,
bjw-pdu-126-138,7,bjw-can-4600c-1,PSU1,
bjw-pdu-126-139,7,bjw-can-4600c-1,PSU2,
bjw-pdu-126-138,35,bjw-can-4600c-2,PSU1,
bjw-pdu-126-139,35,bjw-can-4600c-2,PSU2,
bjw-pdu-126-138,12,bjw-can-2700-3,PSU1,
bjw-pdu-126-139,12,bjw-can-2700-3,PSU2,
bjw-pdu-126-138,24,bjw-can-2700-4,PSU1,
bjw-pdu-126-139,24,bjw-can-2700-4,PSU2,
bjw-pdu-126-135,17,bjw-can-serv-1,PSU1,
bjw-pdu-126-134,17,bjw-can-serv-1,PSU2,
bjw-pdu-126-135,21,bjw-can-serv-2,PSU1,
bjw-pdu-126-134,21,bjw-can-serv-2,PSU2,
bjw-pdu-126-135,25,bjw-can-serv-3,PSU1,
bjw-pdu-126-134,25,bjw-can-serv-3,PSU2,
bjw-pdu-126-135,18,bjw-can-serv-4,PSU1,
bjw-pdu-126-134,18,bjw-can-serv-4,PSU2,
bjw-pdu-126-135,33,bjw-can-serv-5,PSU1,
bjw-pdu-126-134,33,bjw-can-serv-5,PSU2,
bjw-pdu-126-135,27,bjw-can-serv-6,PSU1,
bjw-pdu-126-134,27,bjw-can-serv-6,PSU2,
bjw-pdu-126-132,24,bjw-can-serv-7,PSU1,
bjw-pdu-126-133,24,bjw-can-serv-7,PSU2,
bjw-pdu-126-132,25,bjw-can-serv-8,PSU1,
bjw-pdu-126-133,25,bjw-can-serv-8,PSU2,
bjw-pdu-126-132,27,bjw-can-serv-9,PSU1,
bjw-pdu-126-133,27,bjw-can-serv-9,PSU2,
bjw-pdu-126-132,29,bjw-can-serv-10,PSU1,
bjw-pdu-126-133,29,bjw-can-serv-10,PSU2,
bjw-pdu-126-132,30,bjw-can-serv-11,PSU1,
bjw-pdu-126-133,30,bjw-can-serv-11,PSU2,
bjw-pdu-126-136,29,bjw-can-serv-12,PSU1,
bjw-pdu-126-137,29,bjw-can-serv-12,PSU2,
bjw-pdu-126-136,30,bjw-can-serv-13,PSU1,
bjw-pdu-126-137,30,bjw-can-serv-13,PSU2,
bjw-pdu-126-136,31,bjw-can-serv-14,PSU1,
bjw-pdu-126-137,31,bjw-can-serv-14,PSU2,
bjw-pdu-126-136,33,bjw-can-serv-15,PSU1,
bjw-pdu-126-137,33,bjw-can-serv-15,PSU2,
bjw-pdu-126-136,35,bjw-can-serv-16,PSU1,
bjw-pdu-126-137,35,bjw-can-serv-16,PSU2,
bjw-pdu-126-135,29,bjw-can-7060-fanout-1,PSU1,
bjw-pdu-126-134,29,bjw-can-7060-fanout-1,PSU2,
bjw-pdu-126-135,30,bjw-can-7260-root-1,PSU1,
bjw-pdu-126-134,30,bjw-can-7260-root-1,PSU2,
bjw-pdu-126-130,3,bjw-can-4kts-1,PSU1,
bjw-pdu-126-130,21,bjw-can-z9332f-5,PSU1,
bjw-pdu-126-131,21,bjw-can-z9332f-5,PSU2,
bjw-pdu-126-130,22,bjw-can-z9332f-6,PSU1,
bjw-pdu-126-131,22,bjw-can-z9332f-6,PSU2,
bjw-pdu-126-130,23,bjw-can-z9332f-7,PSU1,
bjw-pdu-126-131,23,bjw-can-z9332f-7,PSU2,
bjw-pdu-126-130,31,bjw-can-7250-sup-1,PSU1,A
bjw-pdu-126-130,33,bjw-can-7250-sup-1,PSU2,B
bjw-pdu-126-130,35,bjw-can-7250-sup-1,PSU3,A
bjw-pdu-126-130,36,bjw-can-7250-sup-1,PSU4,B
bjw-pdu-126-130,37,bjw-can-7250-sup-1,PSU5,A
bjw-pdu-126-130,39,bjw-can-7250-sup-1,PSU6,B
bjw-pdu-126-130,41,bjw-can-7250-sup-1,PSU7,A
bjw-pdu-126-131,31,bjw-can-7250-sup-1,PSU1,B
bjw-pdu-126-131,33,bjw-can-7250-sup-1,PSU2,A
bjw-pdu-126-131,35,bjw-can-7250-sup-1,PSU3,B
bjw-pdu-126-131,36,bjw-can-7250-sup-1,PSU4,A
bjw-pdu-126-131,37,bjw-can-7250-sup-1,PSU5,B
bjw-pdu-126-131,39,bjw-can-7250-sup-1,PSU6,A
bjw-pdu-126-131,41,bjw-can-7250-sup-1,PSU7,B
bjw-pdu-126-138,18,bjw-can-7260-6,PSU1,
bjw-pdu-126-139,18,bjw-can-7260-6,PSU2,
bjw-pdu-126-138,13,bjw-can-a7280cr3-1,PSU1,
bjw-pdu-126-139,13,bjw-can-a7280cr3-1,PSU2,
bjw-pdu-126-138,19,bjw-can-7260-8,PSU1,
bjw-pdu-126-139,19,bjw-can-7260-8,PSU2,
bjw-pdu-126-138,22,bjw-can-7260-9,PSU1,
bjw-pdu-126-139,22,bjw-can-7260-9,PSU2,
bjw-pdu-126-138,20,bjw-can-7260-10,PSU1,
bjw-pdu-126-139,20,bjw-can-7260-10,PSU2,
bjw-pdu-126-138,27,bjw-can-7260-11,PSU1,
bjw-pdu-126-139,27,bjw-can-7260-11,PSU2,
bjw-pdu-127-166,41,bjw-can-7260-12,PSU1,
bjw-pdu-127-167,41,bjw-can-7260-12,PSU2,
bjw-pdu-127-166,42,bjw-can-7260-13,PSU1,
bjw-pdu-127-167,42,bjw-can-7260-13,PSU2,
bjw-pdu-127-166,33,bjw-can-7260-14,PSU1,
bjw-pdu-127-167,33,bjw-can-7260-14,PSU2,
bjw-pdu-127-166,30,bjw-can-7260-15,PSU1,
bjw-pdu-127-167,30,bjw-can-7260-15,PSU2,
bjw-pdu-127-166,24,bjw-can-7260-16,PSU1,
bjw-pdu-127-167,24,bjw-can-7260-16,PSU2,
bjw-pdu-127-166,21,bjw-can-7260-17,PSU1,
bjw-pdu-127-167,21,bjw-can-7260-17,PSU2,
bjw-pdu-127-166,7,bjw-can-7060-1,PSU1,
bjw-pdu-127-167,7,bjw-can-7060-1,PSU2,
bjw-pdu-127-166,15,bjw-can-7260-18,PSU1,
bjw-pdu-127-167,15,bjw-can-7260-18,PSU2,
bjw-pdu-127-166,18,bjw-can-7060-2,PSU1,
bjw-pdu-127-167,18,bjw-can-7060-2,PSU2,
