StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
dev-msn2700-01,Ethernet0,dev-7260-10,Ethernet1,40000,1681,Access
dev-msn2700-01,Ethernet4,dev-7260-10,Ethernet2,40000,1682,Access
dev-msn2700-01,Ethernet8,dev-7260-10,Ethernet3,40000,1683,Access
dev-msn2700-01,Ethernet12,dev-7260-10,Ethernet4,40000,1684,Access
dev-msn2700-01,Ethernet16,dev-7260-10,Ethernet5,40000,1685,Access
dev-msn2700-01,Ethernet20,dev-7260-10,Ethernet6,40000,1686,Access
dev-msn2700-01,Ethernet24,dev-7260-10,Ethernet7,40000,1687,Access
dev-msn2700-01,Ethernet28,dev-7260-10,Ethernet8,40000,1688,Access
dev-msn2700-01,Ethernet32,dev-7260-10,Ethernet9,40000,1689,Access
dev-msn2700-01,Ethernet36,dev-7260-10,Ethernet10,40000,1690,Access
dev-msn2700-01,Ethernet40,dev-7260-10,Ethernet11,40000,1691,Access
dev-msn2700-01,Ethernet44,dev-7260-10,Ethernet12,40000,1692,Access
dev-msn2700-01,Ethernet48,dev-7260-10,Ethernet13,40000,1693,Access
dev-msn2700-01,Ethernet52,dev-7260-10,Ethernet14,40000,1694,Access
dev-msn2700-01,Ethernet56,dev-7260-10,Ethernet15,40000,1695,Access
dev-msn2700-01,Ethernet60,dev-7260-10,Ethernet16,40000,1696,Access
dev-msn2700-01,Ethernet64,dev-7260-10,Ethernet17,40000,1697,Access
dev-msn2700-01,Ethernet68,dev-7260-10,Ethernet18,40000,1698,Access
dev-msn2700-01,Ethernet72,dev-7260-10,Ethernet19,40000,1699,Access
dev-msn2700-01,Ethernet76,dev-7260-10,Ethernet20,40000,1700,Access
dev-msn2700-01,Ethernet80,dev-7260-10,Ethernet21,40000,1701,Access
dev-msn2700-01,Ethernet84,dev-7260-10,Ethernet22,40000,1702,Access
dev-msn2700-01,Ethernet88,dev-7260-10,Ethernet23,40000,1703,Access
dev-msn2700-01,Ethernet92,dev-7260-10,Ethernet24,40000,1704,Access
dev-msn2700-01,Ethernet96,dev-7260-10,Ethernet25,40000,1705,Access
dev-msn2700-01,Ethernet100,dev-7260-10,Ethernet26,40000,1706,Access
dev-msn2700-01,Ethernet104,dev-7260-10,Ethernet27,40000,1707,Access
dev-msn2700-01,Ethernet108,dev-7260-10,Ethernet28,40000,1708,Access
dev-msn2700-01,Ethernet112,dev-7260-10,Ethernet29,40000,1709,Access
dev-msn2700-01,Ethernet116,dev-7260-10,Ethernet30,40000,1710,Access
dev-msn2700-01,Ethernet120,dev-7260-10,Ethernet31,40000,1711,Access
dev-msn2700-01,Ethernet124,dev-7260-10,Ethernet32,40000,1712,Access
dev-7260-11,Ethernet19,dev-acs-serv-01,p4p1,40000,,Trunk
dev-7260-11,Ethernet30,dev-7260-10,Ethernet64,40000,1681-1712,Trunk
