FrontPanel,Channel,LinkSpeed,OutPort,SwitchOverPort,EthernetPass
9,1,100,False,False,False
9,3,100,False,False,False
9,5,100,False,False,False
9,7,100,False,False,False
10,1,100,False,False,False
10,3,100,False,False,False
10,5,100,False,False,False
10,7,100,False,False,False
11,1,100,False,False,False
11,3,100,False,False,False
11,5,100,False,False,False
11,7,100,False,False,False
12,1,100,False,False,False
12,3,100,False,False,False
12,5,100,False,False,False
12,7,100,False,False,False
5,,400,True,False,False
17,,400,True,True,False
8,,,False,False,True
20,,,False,False,True
